cve_ent,entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
1,Aguascalientes,63,Aguascalientes II,2021_2022,9.1
1,Aguascalientes,284,Aguascalientes III,2021_2022,17.4
1,Aguascalientes,318,Aguascalientes IV,2021_2022,11.2
1,Aguascalientes,247,Ing. Miguel Ángel Barberena Vega,2021_2022,8.9
1,Aguascalientes,319,Pabellon de Arteaga,2021_2022,9.8
1,Aguascalientes,16,Prof. J. Refugio Esparza Reyes,2021_2022,12.6
2,Aguascalientes,285,Tepezalá,2021_2022,16.4
2,Baja California,64,Ensenada,2021_2022,20.3
2,Baja California,215,Ing. César Moreno Martínez de Escobar,2021_2022,18.2
2,Baja California,17,Mexicali I,2021_2022,20.6
2,Baja California,154,Mexicali II,2021_2022,15
2,Baja California,18,Tijuana I,2021_2022,11.7
2,Baja California,143,Tijuana II,2021_2022,24.8
3,Baja California Sur,19,La Paz,2021_2022,19
3,Baja California Sur,282,San José del Cabo,2021_2022,9.6
4,Campeche,21,Ciudad del Carmen,2021_2022,17.1
4,Campeche,272,Dzitbalché Calkiní,2021_2022,5.7
4,Campeche,20,Lic. Guillermo González Galera,2021_2022,12.9
7,Chiapas,331,Altamirano,2021_2022,18.5
7,Chiapas,22,Chiapa de Corzo,2021_2022,15.8
7,Chiapas,70,Comitán,2021_2022,8.6
7,Chiapas,67,Huixtla,2021_2022,17.1
7,Chiapas,262,Ocosingo,2021_2022,9.2
7,Chiapas,69,Palenque,2021_2022,17.6
7,Chiapas,340,Pichucalco,2021_2022,56.4
7,Chiapas,171,San Cristóbal de las Casas,2021_2022,17.2
7,Chiapas,325,Tapachula,2021_2022,8.8
7,Chiapas,170,Tonalá-Chiapas,2021_2022,25
7,Chiapas,68,Tuxtla Chico,2021_2022,18
7,Chiapas,312,Tuxtla Gutiérrez,2021_2022,13.9
8,Chihuahua,25,Chihuahua I,2021_2022,5.8
8,Chihuahua,219,Chihuahua II,2021_2022,22.1
8,Chihuahua,218,Ciudad Cuauhtémoc,2021_2022,20.2
8,Chihuahua,208,Ciudad Delicias,2021_2022,36.1
8,Chihuahua,26,Ciudad Juárez I,2021_2022,22.3
