entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
Aguascalientes,63.0,Aguascalientes II,2021_2022,9.1
Aguascalientes,284.0,Aguascalientes III,2021_2022,17.4
Aguascalientes,318.0,Aguascalientes IV,2021_2022,11.2
Aguascalientes,247.0,Ing. Miguel Ángel Barberena Vega,2021_2022,8.9
Aguascalientes,319.0,Pabellon de Arteaga,2021_2022,9.8
Aguascalientes,16.0,Prof. J. Refugio Esparza Reyes,2021_2022,12.6
Aguascalientes,285.0,Tepezalá,2021_2022,16.4
Baja California,64.0,Ensenada,2021_2022,20.3
Baja California,215.0,Ing. César Moreno Martínez de Escobar,2021_2022,18.2
Baja California,17.0,Mexicali I,2021_2022,20.6
Baja California,154.0,Mexicali II,2021_2022,15.0
Baja California,18.0,Tijuana I,2021_2022,11.7
Baja California,143.0,Tijuana II,2021_2022,24.8
Baja California Sur,19.0,La Paz,2021_2022,19.0
Baja California Sur,282.0,San José del Cabo,2021_2022,9.6
Campeche,21.0,Ciudad del Carmen,2021_2022,17.1
Campeche,272.0,Dzitbalché Calkiní,2021_2022,5.7
Campeche,20.0,Lic. Guillermo González Galera,2021_2022,12.9
Chiapas,331.0,Altamirano,2021_2022,18.5
Chiapas,22.0,Chiapa de Corzo,2021_2022,15.8
Chiapas,70.0,Comitán,2021_2022,8.6
Chiapas,67.0,Huixtla,2021_2022,17.1
Chiapas,262.0,Ocosingo,2021_2022,9.2
Chiapas,69.0,Palenque,2021_2022,17.6
Chiapas,340.0,Pichucalco,2021_2022,56.4
Chiapas,171.0,San Cristóbal de las Casas,2021_2022,17.2
Chiapas,325.0,Tapachula,2021_2022,8.8
Chiapas,170.0,Tonalá-Chiapas,2021_2022,25.0
Chiapas,68.0,Tuxtla Chico,2021_2022,18.0
Chiapas,312.0,Tuxtla Gutiérrez,2021_2022,13.9
Chihuahua,25.0,Chihuahua I,2021_2022,5.8
Chihuahua,219.0,Chihuahua II,2021_2022,22.1
Chihuahua,218.0,Ciudad Cuauhtémoc,2021_2022,20.2
